"통계분류(1)",통계분류(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,수집활동,생활공예,요리하기,반려동물 돌보기,노래방가기,인테리어,등산,낚시,홈페이지/블로그 관리,인터넷 검색/ 영상편집,게임,보드게임/퍼즐/큐브 맞추기,바둑/ 장기/ 체스,겜블,쇼핑/외식,음주,독서,만화 보기,미용,어학/기술/자격증 취득 공부,테마카페체험,원예
"종사자지위별",고용원이 없는 자영업자,1557,0.1,0.7,1.9,5.3,0.4,0.1,4.6,0.8,0.6,24.1,6.4,-,1.2,0.3,16.1,12.5,2.1,0.2,1.7,0.3,-,4.8
"종사자지위별",무급가족종사자,188,-,-,6,5.5,0.3,-,0.9,0.2,0.6,24.5,4.4,-,0.3,0.5,24.6,1.4,1.8,1.4,3.8,-,-,9.1
"종사자지위별",기타종사자,53,-,1.3,2.9,1.9,-,-,8.4,-,-,27.7,10.8,-,1.2,-,7.3,10.7,8.2,-,7.6,3.8,-,0.7
"종사자지위별",해당없음(무직),3757,0.2,1.3,3.8,5.8,1.4,0.3,2.8,0.5,0.1,18.5,11.4,0.3,0.8,0.4,14.2,3.3,2.8,2.1,3.5,1.3,0.1,8.2
"가구소득별",100만원 미만,1098,-,0.2,4.9,4.3,0.2,-,2.5,0.4,-,6.9,5.8,0.1,1.6,1.5,14.3,7.9,2,0.4,3.8,-,-,15.7
"가구소득별",100~200만원,824,0.4,0.1,4.3,7.3,0.4,-,3.3,0.8,-,10.5,3.2,-,1,0.9,18.5,10.9,2.5,0.5,2.7,0.5,-,12.1
"가구소득별",200~300만원,1357,0.1,0.6,4.4,6.5,1.3,0.3,3.3,0.6,-,16.6,9.3,0.2,1.1,0.2,15,7.5,2.4,1,2.3,0.5,-,9
"가구소득별",300~400만원,1764,0.1,0.9,2.7,5.6,1,0.4,3.1,0.6,-,21.8,10.4,0.3,1.1,0.1,16.8,7.9,2.5,1.6,2.2,0.7,0.1,5
"가구소득별",400~500만원,1797,0.2,1.3,2.6,5.5,1.5,0.1,2.9,0.4,0.2,24.7,13.1,0.3,0.5,0.2,12.3,7,2.1,2.1,2.3,0.7,0.1,4.4
"가구소득별",500~600만원,1532,0.1,0.9,2,5.3,0.4,0.3,1.9,0.3,0.1,26.2,14.5,0.2,0.5,0.3,12.9,7.1,3.2,2.7,2.5,1,-,2.6
"가구소득별",600만원 이상,1674,-,1,2.4,5.8,1.6,0.2,3.7,0.9,1,25.9,10.9,0.5,0.6,0.1,12,7.2,4,1.3,2,1.2,0.2,2.9
"지역규모별",대도시,4331,0.2,0.8,2.8,6.1,1.4,0.3,3.5,0.4,0.3,23.1,11.3,0.4,0.8,0.4,15.3,6.6,3.5,1.2,2.3,1,-,4
"지역규모별",중소도시,3459,0.1,1,2.5,5.3,1.1,0.2,2.8,0.5,0.3,22.3,12.4,0.2,0.6,0.2,10.8,7,2.8,2.1,1.9,0.7,0.1,5
"지역규모별",읍면지역,2256,0.1,0.9,4,5.6,0.2,0.1,2,0.8,0.3,18.1,7.1,0.1,1,0.4,17.2,11,1.6,1.5,3.5,0.4,-,10.4
"권역별",수도권,3107,0.2,0.9,3.1,5.3,1.5,0.4,3.1,0.4,0.3,20.4,10.6,0.3,0.8,0.3,14,7.1,2.8,1.3,2.3,0.8,0.1,3.5
"권역별",강원/제주권,772,-,1,2.6,5.4,1,-,3.4,1,0.2,15.2,12.9,0.4,0.8,0.8,11.5,7.5,2.2,3.3,4.2,0.6,0.2,9.7
"권역별",충청/세종권,1721,0.1,0.8,4.1,8.5,0.6,0.1,2,0.5,0.3,13.8,15.5,0.1,0.7,0.1,8.7,8.1,2.2,2.8,1.3,0.8,0.2,14.8
"권역별",호남권,1485,0.2,0.8,4.8,6.2,0.9,0.1,3,0.8,0.6,15.8,10.8,0.3,1.3,0.6,11,7.8,4.3,2.8,1.8,1,-,7.9
"권역별",대경권,1200,-,0.7,1.5,4.9,0.3,0.1,2.9,1.1,0.3,29.6,9.5,0.3,0.9,-,16.6,9.1,3,0.9,3.6,0.7,-,6.4
"권역별",동남권,1761,-,1.2,1,5.1,0.5,0.1,3.1,0.5,0.1,33.5,9.4,0.2,0.3,0.3,18.1,7.5,2.9,0.9,2.3,0.7,0.1,2.5
"17개 시도별",서울,1164,0.3,1,3.9,5.6,2.1,0.5,3.2,0.3,0.4,20.9,10.1,0.4,1.1,0.7,14.6,7.5,3.4,0.9,3,1.1,-,2.8
"17개 시도별",부산,690,-,1.1,0.9,3.2,0.7,-,2.4,0.8,0.1,31.1,10.6,0.2,0.1,0.5,21.5,6.4,3.6,1.2,1.8,0.9,0.1,1.9
"17개 시도별",대구,580,-,0.7,1.2,3.9,-,-,3.7,0.5,0.7,27.3,12.2,0.6,0.5,-,15.2,7.2,4.3,0.7,5.3,0.6,-,5.7
"17개 시도별",인천,617,0.2,0.5,1.9,9.9,1.7,0.2,5.2,0.4,-,13.6,12.2,0.2,1.6,0.5,15.4,6.9,3.2,1.1,1.2,1.1,-,5.5
"17개 시도별",광주,447,-,0.6,4.1,6.5,1.4,-,4.5,1.2,0.6,29.9,4.3,0.7,0.6,0.2,8.8,7.1,5.6,2.9,2.4,0.3,-,2.7
"17개 시도별",대전,460,-,0.6,2,8.5,0.8,-,2.2,-,0.2,22.5,19.4,0.1,0.1,-,9.3,4.4,2.2,3.1,0.8,0.7,-,11.7
"17개 시도별",울산,393,-,0.3,1.9,3.9,-,0.2,4.9,0.8,0.2,26.6,11.4,-,0.2,0.2,21.3,5.7,2.1,-,1.8,0.9,-,3.7
"17개 시도별",세종,221,-,0.5,5,15.4,-,-,2.9,-,-,20.2,19.9,0.9,1.1,0.6,4.3,3.2,2.6,3.3,-,0.4,-,13.3
"17개 시도별",경기,1326,0.1,0.9,2.9,4.1,1.1,0.3,2.6,0.5,0.3,21.6,10.6,0.2,0.4,0.1,13.3,6.9,2.3,1.7,2.1,0.5,0.1,3.6
"17개 시도별",강원,472,-,1,3.5,4,1.4,-,4.1,1,0.3,10.7,11.3,0.5,0.6,0.7,15,8.7,1.5,4,3.9,0.5,0.3,8.3
"17개 시도별",충북,482,0.3,0.9,2.2,8.7,0.4,-,2.1,1,0.7,12,15.1,-,0.5,-,7.8,10.1,2.3,3.2,2.2,1.5,0.4,18.8
"17개 시도별",충남,558,-,0.8,6.9,7.3,0.8,0.2,1.6,0.6,-,8.2,12.3,-,1.2,0.2,9.8,10,1.9,2.3,1.2,0.5,0.3,14.3
"17개 시도별",전북,523,0.2,0.6,2.9,7.9,1,0.3,2.3,0.2,0.9,9.9,10,-,0.4,-,7.9,8.4,5.2,3.2,1.5,1.4,-,6.6
"17개 시도별",전남,515,0.4,1.2,7.4,4.2,0.3,-,2.6,1.1,0.4,10.4,16.8,0.3,2.8,1.7,15.9,7.8,2.3,2.3,1.5,1.1,-,13.6
"17개 시도별",경북,620,-,0.7,1.7,5.7,0.6,0.2,2.2,1.6,-,31.6,7.1,-,1.3,0.1,17.9,10.8,1.9,1,2.1,0.8,-,6.9
"17개 시도별",경남,678,0.1,1.6,0.8,7.5,0.5,0.3,3.3,0.2,-,38.2,7.5,0.3,0.7,0.1,13.5,9.2,2.3,0.9,3,0.4,-,2.7
"17개 시도별",제주,300,-,0.9,0.7,8.9,-,-,1.7,1.1,-,25.6,16.5,-,1.4,1.2,3.4,4.7,3.8,1.6,4.9,0.9,-,12.9
"장애여부별",장애등록,151,-,1.1,3.9,7.2,0.6,-,2.9,-,-,14.5,3,-,2.8,0.3,15.2,11.7,2.4,2.4,4.6,-,-,8.9
"장애여부별",미등록,58,-,-,5.8,7.5,3.4,-,2,2.7,-,5.8,4.4,-,1.3,0.6,13.3,5.8,1.5,-,3.3,-,-,4.8
"장애여부별",해당사항없음,9837,0.1,0.9,2.9,5.6,1.1,0.2,3,0.5,0.3,22.1,11.1,0.3,0.8,0.3,13.9,7.5,2.9,1.6,2.3,0.8,0.1,5.5
"근무 형태",전일제,4189,0.1,0.8,2.2,5.8,0.9,0.2,2.6,0.6,0.3,25.1,12.1,0.3,0.5,0.2,12,10.6,3,1.5,1.4,0.5,0.1,3.3
"근무 형태",교대제,287,-,0.9,1.8,5,1.3,-,4.6,1.3,-,22.3,14.8,0.3,-,-,15.1,8.2,6.7,1.2,1.2,0.5,-,4.2
"근무 형태",시간 선택제,394,-,1.2,3,7.8,1.5,-,1.8,0.3,0.8,17.8,9.6,0.2,2.1,1.6,18.7,3.5,4.5,1.4,5,0.3,-,10.1
"근무 형태",해당 없음,1419,0.1,0.2,3.1,4.7,0.7,0.2,4.3,0.7,0.7,21.9,6.3,0.2,1.3,0.2,17.2,10.2,1.5,0.7,2,0.5,-,4.6
"유연 근무제 여부",시행,528,-,0.8,2.4,6.6,0.6,0.6,2.9,0.4,0.6,16.8,12.3,0.7,1.3,0.5,15.9,5.8,5.6,1.4,2.1,1.5,0.3,1.1
"유연 근무제 여부",미시행,2959,0.2,0.6,2.4,5.5,1,0.2,3,0.6,0.4,27.2,11.2,0.3,0.6,0.3,12,10.2,3,1.6,1.4,0.3,-,2.7
"유연 근무제 여부",해당 없음,2802,-,0.7,2.4,5.5,0.9,0.1,3.2,0.6,0.3,21.4,9.9,0.1,0.9,0.2,15.3,10.6,2.2,1,2.1,0.5,0.1,6.2
