"통계분류(1)",통계분류(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,수집활동,생활공예,요리하기,반려동물 돌보기,노래방가기,인테리어,등산,낚시,홈페이지/블로그관리,인터넷검색,게임,보드게임,바둑/장기,겜블,쇼핑/외식,음주,독서,만화 보기,미용,어학/기술공부,테마카페체험,원예
"종사자지위별",고용원이 없는 자영업자,1557,-,0.2,1.3,4.1,0.6,0.1,11.3,2.5,0.1,14.2,3.9,-,0.9,0.5,28.4,8.4,1.1,0.2,2.8,0.3,0.1,3
"종사자지위별",무급가족종사자,188,-,-,3,4.5,0.3,-,5.6,0.2,-,13.9,3.4,-,0.3,0.5,33.2,2,2.1,1.4,6.6,-,-,5.2
"종사자지위별",기타종사자,53,-,1.3,2.9,-,9.2,-,21.4,1.4,-,13.4,7.2,-,1.2,1.8,19.5,6.2,-,1.2,2.3,-,-,0.7
"종사자지위별",해당없음(무직),3757,-,0.5,2.2,4,1.5,0.2,5.6,0.5,0.1,12.8,9.3,0.4,0.7,0.3,26.8,3.5,2.2,1.7,2.8,0.4,0.1,6.1
"가구소득별",100만원 미만,1098,-,0.2,3.2,3.9,0.6,0.1,4,0.3,-,5.6,4.6,0.1,1.2,0.7,19.8,7.5,1.2,0.2,3.3,-,0.1,14
"가구소득별",100~200만원,824,-,0.1,2.3,4,0.6,-,8.8,1,-,6.2,1.9,-,1.4,0.5,29.5,7.9,2.1,0.5,2.4,0.3,0.2,8.6
"가구소득별",200~300만원,1357,-,0.2,1.6,4.9,0.7,0.2,9.9,2.6,-,11.1,5.8,0.1,0.7,0.4,28.4,5.3,1.7,1,2.4,-,0.1,6.7
"가구소득별",300~400만원,1764,0.2,0.5,1.9,3.9,1.1,0.3,7.8,2.7,-,12.4,7.3,0.1,0.8,0.3,31.4,6.2,1.3,0.8,3.4,0.2,0.2,3.1
"가구소득별",400~500만원,1797,-,0.2,2.1,3.8,1.6,0.2,7.7,1.3,0.1,16.1,8.9,0.5,0.3,0.2,27.7,4.7,1.5,1.7,3.5,0.3,0.1,3
"가구소득별",500~600만원,1532,-,0.3,1.5,3.6,1.7,0.3,7,2.3,0.2,15.4,10.6,0.5,0.3,0.3,27.7,4.8,1.7,2.2,2.9,0.5,0.2,2.1
"가구소득별",600만원 이상,1674,0.1,0.7,1.1,4.2,1.4,0.5,9.6,2,0.5,14.7,8.4,0.3,0.2,0.4,28.9,4,2.9,1.3,3.6,0.8,0.1,1.5
"지역규모별",대도시,4331,-,0.2,1.8,4.3,1.5,0.2,8.5,1.8,0.2,13.1,7.4,0.3,0.6,0.4,31,5.1,2.3,0.9,3.4,0.5,0.1,3
"지역규모별",중소도시,3459,-,0.4,1.7,3.8,1.3,0.3,8,2,0.2,13.6,9.5,0.3,0.4,0.3,25.5,4.7,1.9,1.9,2.7,0.3,0.1,3.3
"지역규모별",읍면지역,2256,0.2,0.7,2,3.9,0.7,0.3,7.1,2,0.1,12.7,5,0.2,0.9,0.6,28,6.8,0.8,1,3.8,0.1,0.1,7.8
"권역별",수도권,3107,0.1,0.2,1.8,3.6,1.5,0.4,8.1,1.7,0.2,11.5,7.1,0.3,0.5,0.3,30.1,3.8,1.9,1.3,3.6,0.4,0.1,2.1
"권역별",강원/제주권,772,-,0.5,2.1,3.2,1.6,-,9.9,2.2,0.1,4.8,7.4,0.4,0.7,1.2,29.8,6.1,2.1,1.7,5.8,0.2,0.2,6.8
"권역별",충청/세종권,1721,0.2,0.6,2.5,7.3,0.6,0.2,6.9,1.7,0.1,7.2,12.2,-,0.8,0.5,21.2,7.8,1.2,2,3,0.5,0.5,11.7
"권역별",호남권,1485,-,0.6,2.7,3.8,1.2,0.1,7.7,2.3,0.2,9.2,8.5,0.6,0.6,0.5,28.6,6.4,1.9,2,1.8,0.2,-,6.8
"권역별",대경권,1200,-,0.3,1.1,2.3,1.2,0.1,8.3,2.6,0.1,19.4,5.8,0.1,1.2,0.2,29.4,7.5,2.1,0.9,2.7,0.1,0.2,4.2
"권역별",동남권,1761,-,0.7,1,4.4,0.7,0.2,8.4,2,0.2,24.4,7.7,0.3,0.2,0.3,25.9,5.8,1.9,0.6,2.4,0.5,0.1,1.8
"17개 시도별",서울,1164,-,0.1,2.4,3.7,2.3,0.3,8.2,1.5,0.2,11.7,5.8,0.4,0.9,0.6,31.1,4.6,2.7,0.9,5,0.8,0.2,1.9
"17개 시도별",부산,690,-,0.8,1.2,2.9,0.3,-,6.8,1.9,0.1,22.1,9,0.4,-,0.4,26.6,6.4,2.5,0.4,2.3,0.5,0.1,1.9
"17개 시도별",대구,580,-,-,0.6,2.1,1.5,0.3,10.2,2.2,0.2,18,6.8,0.3,0.6,0.2,26.4,5.7,2.8,0.8,2.1,0.2,0.2,4.8
"17개 시도별",인천,617,0.2,0.1,0.9,5.8,0.9,0.1,9.6,2.6,-,3.5,7.2,0.1,0.6,0.2,43.8,2.2,1.1,1.1,2.1,0.3,-,2.5
"17개 시도별",광주,447,-,0.5,2,3.8,1.4,-,7.9,3,-,15.1,6.8,0.6,0.6,-,25.8,9.3,2,1.9,1.4,0.6,-,3.5
"17개 시도별",대전,460,0.1,0.2,1.2,9.4,0.6,-,9,0.4,-,10.8,13.1,-,0.1,0.3,23.7,8.4,0.7,0.7,2.4,0.6,-,10.8
"17개 시도별",울산,393,0.2,0.3,1.7,4.8,1,0.3,9.7,1.4,0.3,16.9,8.3,-,0.2,0.6,32.7,2.2,1.1,-,3.2,-,-,2.1
